CODE2,CODE1,CODEBASE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
Dec-31,A6401-01-001,A6401-0002-00,87.21,2.37,23440.87,41.23,5.26,35.96,683.33,107Y12M
Dec-31,A6401-01-001,A6401-0004-00,80.65,2.8,26216.02,24.44,4.44,20,450,107Y12M
Dec-31,A6401-01-002,A6401-0005-00,97.72,2.54,66191.04,34.59,17.74,16.85,95,107Y12M
Dec-31,A6401-01-003,A6401-0006-00,89.94,2.17,34971.63,31.3,12.17,19.13,157.14,107Y12M
Dec-31,A6401-01-004,A6401-0008-00,70.97,2.52,5558.79,51.43,14.29,37.14,260,107Y12M
Dec-31,A6401-01-004,A6401-0009-00,109.65,2.34,21998.94,42.26,11.9,30.36,255,107Y12M
Dec-31,A6401-01-004,A6401-0012-00,92.59,2.54,14857.13,44.44,11.11,33.33,300,107Y12M
Dec-31,A6401-01-005,A6401-0010-00,100,2.36,13703.31,66.2,18.31,47.89,261.54,107Y12M
Dec-31,A6401-01-005,A6401-0011-00,115.34,1.52,51692.13,45.77,10,35.77,357.69,107Y12M
Dec-31,A6401-01-006,A6401-0014-00,103.54,2.37,24779.8,41.98,11.73,30.25,257.89,107Y12M
Dec-31,A6401-01-006,A6401-0016-00,104.17,2.53,18664.64,51.55,10.31,41.24,400,107Y12M
Jan-32,A6401-02-001,A6401-0001-00,110,2.03,6320.79,53.66,12.2,41.46,340,107Y12M
Jan-32,A6401-02-001,A6401-0003-00,79.17,2.39,9650.56,30.3,9.09,21.21,233.33,107Y12M
Jan-32,A6401-02-001,A6401-0007-00,110.53,2.35,6830.72,66.67,16.67,50,300,107Y12M
Jan-32,A6401-02-002,A6401-0013-00,115.15,1.97,8466.38,42.95,6.71,36.24,540,107Y12M
Jan-32,A6401-02-003,A6401-0019-00,115.66,2.36,14780.75,32.59,11.11,21.48,193.33,107Y12M
Jan-32,A6401-02-003,A6401-0023-00,90.2,1.9,19699.78,42.65,7.35,35.29,480,107Y12M
Jan-32,A6401-02-004,A6401-0021-00,100,2.33,2502.34,33.33,9.52,23.81,250,107Y12M
Jan-32,A6401-02-004,A6401-0026-00,136.11,2.13,14851.13,60.38,18.87,41.51,220,107Y12M
Jan-32,A6401-02-004,A6401-0028-00,86.96,1.63,77749.31,35.22,8.81,26.42,300,107Y12M
Jan-32,A6401-02-005,A6401-0024-00,116.22,1.74,16526.53,40.35,7.02,33.33,475,107Y12M
Jan-32,A6401-02-005,A6401-0029-00,145,1.53,37432.9,51.55,5.15,46.39,900,107Y12M
Jan-32,A6401-02-006,A6401-0031-00,126.88,2.07,25214.96,41.61,4.7,36.91,785.71,107Y12M
Jan-32,A6401-02-007,A6401-0035-00,135.14,2.52,42476.06,50,14.66,35.34,241.18,107Y12M
Jan-32,A6401-02-008,A6401-0033-00,88.89,1.89,19751.36,44.96,10.85,34.11,314.29,107Y12M
Jan-32,A6401-02-008,A6401-0036-00,128.57,1.41,22535.34,41.18,13.24,27.94,211.11,107Y12M
Jan-32,A6401-02-009,A6401-0038-00,92.97,2.08,65556.26,40.34,6.25,34.09,545.45,107Y12M
Jan-32,A6401-02-010,A6401-0040-00,120.8,1.65,66495.2,45.26,10.53,34.74,330,107Y12M
Jan-32,A6401-02-010,A6401-0043-00,106.9,2.31,21183.86,42.86,19.05,23.81,125,107Y12M
Feb-32,A6401-03-001,A6401-0018-00,76.21,1.98,43884.58,46.96,11.34,35.63,314.29,107Y12M
Feb-32,A6401-03-002,A6401-0015-00,128.57,3.2,13744.38,45.45,18.18,27.27,150,107Y12M
Feb-32,A6401-03-002,A6401-0017-00,143.33,2.15,15473.89,40.38,13.46,26.92,200,107Y12M
Feb-32,A6401-03-002,A6401-0020-00,97.52,2.32,24506.39,35.03,7.34,27.68,376.92,107Y12M
Feb-32,A6401-03-003,A6401-0022-00,110.17,2.07,13811.28,44.19,11.63,32.56,280,107Y12M
Feb-32,A6401-03-003,A6401-0025-00,93.55,2.33,32068.29,34.08,10.61,23.46,221.05,107Y12M
Feb-32,A6401-03-004,A6401-0027-00,94.38,2.54,18662.98,40.65,10.57,30.08,284.62,107Y12M
Feb-32,A6401-03-005,A6401-0032-00,84.78,2.45,30298.33,39.34,13.66,25.68,188,107Y12M
Feb-32,A6401-03-005,A6401-0037-00,88.46,2.23,19306.18,53.13,12.5,40.63,325,107Y12M
Feb-32,A6401-03-006,A6401-0042-00,122.5,2.78,16397.14,45.9,8.2,37.7,460,107Y12M
Feb-32,A6401-03-006,A6401-0044-00,134.69,2.21,29860.96,59.72,19.44,40.28,207.14,107Y12M
Feb-32,A6401-03-007,A6401-0045-00,76.67,2.49,23419.61,51.43,13.57,37.86,278.95,107Y12M
Feb-32,A6401-03-007,A6401-0048-00,98.57,1.81,17298.61,31.13,4.72,26.42,560,107Y12M
Mar-32,A6401-04-001,A6401-0030-00,84.44,2.26,49608.02,51.83,14.02,37.8,269.57,107Y12M
Mar-32,A6401-04-002,A6401-0034-00,92.02,2.32,53112.01,44.24,11.98,32.26,269.23,107Y12M
Mar-32,A6401-04-003,A6401-0039-00,89.07,2.34,61250.53,42.39,8.23,34.16,415,107Y12M
Mar-32,A6401-04-004,A6401-0047-00,92.86,2.44,55716.95,42.11,7.46,34.65,464.71,107Y12M
Mar-32,A6401-04-005,A6401-0049-00,95.21,2.43,67700.14,47.39,15.26,32.13,210.53,107Y12M
Mar-32,A6401-04-006,A6401-0053-00,104.26,2.29,21367.54,53.6,12,41.6,346.67,107Y12M
Mar-32,A6401-04-007,A6401-0056-00,87.2,2.23,33279.74,38.46,7.69,30.77,400,107Y12M
Mar-32,A6401-04-008,A6401-0059-00,103.11,2.31,59697.21,38.52,9.19,29.33,319.23,107Y12M
Apr-32,A6401-05-001,A6401-0041-00,82.25,2.46,25618.15,43.26,14.42,28.84,200,107Y12M
Apr-32,A6401-05-002,A6401-0046-00,117.86,2.08,16097.07,55.08,10.17,44.92,441.67,107Y12M
Apr-32,A6401-05-002,A6401-0057-00,89.53,2.01,14103.17,48.18,7.27,40.91,562.5,107Y12M
Apr-32,A6401-05-003,A6401-0051-00,108.7,2.09,8281.89,71.43,17.86,53.57,300,107Y12M
