CODE2,CODE1,CODEBASE,H_CNT,H_BED,H_SRVP,H_SRVB,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,醫療院所家數,醫療院所床數,醫療院所平均每家服務人數,醫療院所平均每千人擁有病床數,資料時間
"A6401-01","A6401-01-001","A6401-0002-00",1,0,161.00,0.00,"107Y12M"
"A6401-01","A6401-01-001","A6401-0004-00",0,0,0.00,0.00,"107Y12M"
"A6401-01","A6401-01-002","A6401-0005-00",0,0,0.00,0.00,"107Y12M"
"A6401-01","A6401-01-003","A6401-0006-00",0,0,0.00,0.00,"107Y12M"
"A6401-01","A6401-01-004","A6401-0008-00",0,0,0.00,0.00,"107Y12M"
"A6401-01","A6401-01-004","A6401-0009-00",0,0,0.00,0.00,"107Y12M"
"A6401-01","A6401-01-004","A6401-0012-00",0,0,0.00,0.00,"107Y12M"
"A6401-01","A6401-01-005","A6401-0010-00",0,0,0.00,0.00,"107Y12M"
"A6401-01","A6401-01-005","A6401-0011-00",0,0,0.00,0.00,"107Y12M"
"A6401-01","A6401-01-006","A6401-0014-00",0,0,0.00,0.00,"107Y12M"
"A6401-01","A6401-01-006","A6401-0016-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-001","A6401-0001-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-001","A6401-0003-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-001","A6401-0007-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-002","A6401-0013-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-003","A6401-0019-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-003","A6401-0023-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-004","A6401-0021-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-004","A6401-0026-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-004","A6401-0028-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-005","A6401-0024-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-005","A6401-0029-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-006","A6401-0031-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-007","A6401-0035-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-008","A6401-0033-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-008","A6401-0036-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-009","A6401-0038-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-010","A6401-0040-00",0,0,0.00,0.00,"107Y12M"
"A6401-02","A6401-02-010","A6401-0043-00",0,0,0.00,0.00,"107Y12M"
"A6401-03","A6401-03-001","A6401-0018-00",0,0,0.00,0.00,"107Y12M"
"A6401-03","A6401-03-002","A6401-0015-00",0,0,0.00,0.00,"107Y12M"
"A6401-03","A6401-03-002","A6401-0017-00",0,0,0.00,0.00,"107Y12M"
"A6401-03","A6401-03-002","A6401-0020-00",0,0,0.00,0.00,"107Y12M"
"A6401-03","A6401-03-003","A6401-0022-00",0,0,0.00,0.00,"107Y12M"
"A6401-03","A6401-03-003","A6401-0025-00",2,4,120.00,16.67,"107Y12M"
"A6401-03","A6401-03-004","A6401-0027-00",0,0,0.00,0.00,"107Y12M"
"A6401-03","A6401-03-005","A6401-0032-00",0,0,0.00,0.00,"107Y12M"
"A6401-03","A6401-03-005","A6401-0037-00",1,2,147.00,13.61,"107Y12M"
"A6401-03","A6401-03-006","A6401-0042-00",2,0,44.50,0.00,"107Y12M"
"A6401-03","A6401-03-006","A6401-0044-00",0,0,0.00,0.00,"107Y12M"
"A6401-03","A6401-03-007","A6401-0045-00",0,0,0.00,0.00,"107Y12M"
"A6401-03","A6401-03-007","A6401-0048-00",1,2,139.00,14.39,"107Y12M"
"A6401-04","A6401-04-001","A6401-0030-00",0,0,0.00,0.00,"107Y12M"
"A6401-04","A6401-04-002","A6401-0034-00",0,0,0.00,0.00,"107Y12M"
"A6401-04","A6401-04-003","A6401-0039-00",1,0,346.00,0.00,"107Y12M"
"A6401-04","A6401-04-004","A6401-0047-00",0,0,0.00,0.00,"107Y12M"
"A6401-04","A6401-04-005","A6401-0049-00",0,0,0.00,0.00,"107Y12M"
"A6401-04","A6401-04-006","A6401-0053-00",0,0,0.00,0.00,"107Y12M"
"A6401-04","A6401-04-007","A6401-0056-00",0,0,0.00,0.00,"107Y12M"
"A6401-04","A6401-04-008","A6401-0059-00",0,0,0.00,0.00,"107Y12M"
"A6401-05","A6401-05-001","A6401-0041-00",1,0,308.00,0.00,"107Y12M"
"A6401-05","A6401-05-002","A6401-0046-00",0,0,0.00,0.00,"107Y12M"
"A6401-05","A6401-05-002","A6401-0057-00",1,0,163.00,0.00,"107Y12M"
"A6401-05","A6401-05-003","A6401-0051-00",0,0,0.00,0.00,"107Y12M"
"A6401-05","A6401-05-003","A6401-0054-00",0,0,0.00,0.00,"107Y12M"
"A6401-05","A6401-05-004","A6401-0050-00",0,0,0.00,0.00,"107Y12M"
"A6401-05","A6401-05-004","A6401-0060-00",3,0,18.67,0.00,"107Y12M"
"A6401-05","A6401-05-005","A6401-0055-00",2,0,69.50,0.00,"107Y12M"
"A6401-05","A6401-05-005","A6401-0058-00",0,0,0.00,0.00,"107Y12M"
"A6401-05","A6401-05-006","A6401-0062-00",2,0,104.50,0.00,"107Y12M"
"A6401-05","A6401-05-007","A6401-0064-00",1,0,282.00,0.00,"107Y12M"
"A6401-05","A6401-05-008","A6401-0073-00",0,0,0.00,0.00,"107Y12M"
