鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鼓山區,房地(土地+建物)+車位,高雄市鼓山區華泰路301~330號,25.31,住,,,1070727,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800322,215.48,4,2,2,有,有,7700000,35734,坡道平面,0,0,,RPPOMLMLQHNFFAE18CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區光華一路181~210號,11.99,商,,,1050520,土地1建物1車位1,三層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070112,203.11,4,2,2,有,有,14200000,75042,坡道平面,28.54,1100000,,RPVNMLTLQHNFFBE86CA
苓雅區,房地(土地+建物),高雄市苓雅區安溪路1~30號,19.34,住,,,1070727,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,691201,61.29,3,1,1,有,無,1700000,27737,,0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLMKRHNFFBE98CA
前鎮區,房地(土地+建物),高雄市前鎮區中山二路181~210號,5.41,商,,,1070720,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000125,72.33,1,1,1,有,有,5500000,76040,,0,0,,RPQOMLRKQHNFFCE88CA
小港區,房地(土地+建物),高雄市小港區孝先街14巷1~30號,24.64,住,,,1070717,土地1建物1車位0,一層，二層，騎樓,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,701201,89.4,2,2,2,有,無,3060000,34228,,0,0,,RPQNMLLLQHNFFCE28CA
三民區,房地(土地+建物),高雄市三民區堅如路1~30號,145,住,,,1070625,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1061127,440.14,5,2,6,有,無,34680000,78793,,0,0,,RPQNMLOKQHNFFDE58CA
三民區,房地(土地+建物)+車位,高雄市三民區大福街241~270號,24.05,住,,,1070705,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820811,145.45,4,2,2,有,有,5200000,35751,坡道平面,0,0,有增建,RPTNMLOKQHNFFDE88CA
三民區,房地(土地+建物),高雄市三民區晉元街1~30號,56,住,,,1070716,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,610328,92.25,4,2,3,有,無,9350000,101355,,0,0,,RPWNMLOKQHNFFDE56CA
三民區,房地(土地+建物),高雄市三民區建國一路402巷8弄1~30號,47.47,住,,,1070726,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,580515,110.63,3,2,2,有,無,3060000,27660,,0,0,,RPQPMLOKQHNFFDE78CA
