中文單位名稱	英文單位名稱	郵遞區號	地址	電話	Lng	Lat
高雄市政府警察局	Kaohsiung City Police Department 	801	高雄市前金區中正四路260號	07 2155555	177081.7688	2503261.088
三民第一分局	Sanmin First Precinct	807	高雄市三民區同盟一路367號	07 3118675	178551.0133	2505893.022
哈爾濱街派出所	Haerbin St. Police Station	807	高雄市三民區哈爾濱街118號	07 3110785	178037.1193	2505071.486
十全路派出所	Shihcyuan Rd. Police Station	807	高雄市三民區十全一路86號	07 3115807	179232.9251	2505145.949
三民派出所	Sanmin Police Station	807	高雄市三民區建國三路188號	07 2211460	177295.7723	2504260.94
長明派出所	Jhangming St. Police Station	807	高雄市三民區南華路253號	07 2355098	178438.3902	2504410.723
前鎮分局	Cianjhen Precinct	806	高雄市前鎮區一心一路286號	07 7242372	179917.1421	2501053.857
瑞隆路派出所	Rueilong Police Station	806	高雄市前鎮區班超路49號	07 8221183	180690.2439	2500125.597
草衙派出所	Caoya Police Station	806	高雄市前鎮區鎮中路150號	07 8213705	179996.9122	2498635.761
前鎮街派出所	Cianjhen st. Police Station	806	高雄市前鎮區前鎮街260號	07 8310309	178877.8355	2499212.786
一心路派出所	Yisin Rd. Police Station	806	高雄市前鎮區一心一路286號	07 7264661	179917.3538	2501054.121
復興路派出所	Fusing Rd. Police Station	806	高雄市前鎮區復興三路96號	07 3342434	179083.8106	2501266.757
左營分局	Zuoying Precinct	813	高雄市左營區博愛三路268號	07 3461122	178701.62	2508522.556
博愛四路派出所	Boai 4th Rd.Police Station	813	高雄市左營區博愛四路437號	07 3487976	179858.1245	2509960.04
四海派出所	Sihhai Police Station	813	高雄市左營區明建里自治新村221之3號	07 5811544	176747.6686	2510573.419
新莊派出所	Sinjhuang  Police Station	813	高雄市左營區富民路435號	07 5562630	179270.2739	2507688.08
啟文派出所	Ciwun  Police Station	813	高雄市左營區中華一路2號	07 5882999	176650.6626	2508086.041
舊城派出所	Jioucheng  Police Station	813	高雄市左營區左營大路101號	07 5853036	176878.9995	2509349.118
左營派出所	Zuoying  Police Station	813	高雄市左營區進學路1號	07 5813019	177619.5342	2510194.104
文自派出所	Wunzih  Police Station	813	高雄市左營區博愛三路268號	07 3501311	178701.62	2508522.556
小港分局	Xiaogang  Precinct	812	高雄市小港區小港路20號	07 8019207	182643.6758	2496363.921
漢民路派出所	Hanmin Police Station	812	高雄市小港區宏平路367號	07 8064590	184131.4084	2496771.822
大林派出所	Dalin Police Station	812	高雄市小港區鳳林路116號	07 8712237	182732.4673	2492058.469
高松派出所	Gaosong Police Station	812	高雄市小港區高松路25號	07 8010795	185470.3319	2497072.651
小港派出所	Xiaogang Police Station	812	高雄市小港區平和南路119號	07 8215913	181727.0986	2496046.612
桂陽派出所	Gueiyang Police Station	812	高雄市小港區桂陽路338號	07 7912688	183298.5743	2498166.272
新興分局	Sinsing Precinct	801	高雄市新興區中山一路100號	07 2212057	178273.3371	2503553.913
五福二路派出所	Wufu 2nd Rd.Police Station	800	高雄市新興區五福二路222號	07 2316481	178347.3583	2502811.261
中正三路派出所	Jhongjheng 3rd Rd.Police Station	800	高雄市新興區中正三路3號	07 2270189	179226.6844	2503530.286
中山路派出所	Jhongshan Police Station	800	高雄市新興區中山一路100號	07 2211209	178273.3371	2503553.913
自強路派出所	Zihciang  Rd.Police Station	801	高雄市前金區自強二路63號	07 2910188	177598.9792	2502807.897
前金分駐所	Cianjin  Police Station	801	高雄市前金區中正四路174號	07 2212901	177487.9069	2503394.147
苓雅分局	Lingya Precinct	802	高雄市苓雅區苓雅一路367號	07 3353760	178406.7551	2502196.582
福德二路派出所	Fude 2nd Rd. Police Station 	802	高雄市苓雅區福德二路77號	07 7233343	180918.5787	2503734.973
凱旋路派出所	Kaisyuan Rd. Police Station	802	高雄市苓雅區凱旋二路145號	07 2236222	180270.1794	2503414.507
三多路派出所	Sanduo Rd. Police Station 	802	高雄市苓雅區三多一路168號	07 7615655	181145.276	2502637.423
民權路派出所	Mincyuan Rd. Police Station 	802	高雄市苓雅區四維二路369號	07 3333631	179454.2268	2502377.193
成功路派出所	Chenggong Rd. Police Station 	802	高雄市苓雅區成功一路136號	07 3334793	177799.0904	2501803.875
