CODE2,CODE1,CODEBASE,A0A4_CNT,A5A9_CNT,A10A14_CNT,A15A19_CNT,A20A24_CNT,A25A29_CNT,A30A34_CNT,A35A39_CNT,A40A44_CNT,A45A49_CNT,A50A54_CNT,A55A59_CNT,A60A64_CNT,A65A69_CNT,A70A74_CNT,A75A79_CNT,A80A84_CNT,A85A89_CNT,A90A94_CNT,A95A99_CNT,A100UP_5_CNT,INFO_TIME
A6401-01,A6401-01-001,A6401-0002-00,2,3,0,5,11,15,17,10,8,7,15,17,16,10,9,9,2,2,1,0,0,107Y06M
A6401-01,A6401-01-001,A6401-0004-00,0,5,3,13,12,11,20,10,8,11,14,18,22,10,5,4,3,3,0,0,0,107Y06M
A6401-01,A6401-01-002,A6401-0005-00,31,25,33,53,35,32,33,34,58,71,52,40,40,30,12,9,10,2,2,0,0,107Y06M
A6401-01,A6401-01-003,A6401-0006-00,12,5,16,13,28,19,22,22,21,23,25,29,31,11,9,6,2,6,1,0,0,107Y06M
A6401-01,A6401-01-004,A6401-0008-00,1,1,5,3,2,2,6,1,1,5,5,7,4,1,0,4,1,2,1,0,1,107Y06M
A6401-01,A6401-01-004,A6401-0009-00,5,8,7,11,16,18,16,12,16,23,19,18,25,18,11,9,6,0,1,0,0,107Y06M
A6401-01,A6401-01-004,A6401-0012-00,3,2,4,5,9,8,8,7,8,6,11,12,15,13,7,2,4,1,0,0,0,107Y06M
A6401-01,A6401-01-005,A6401-0010-00,4,6,1,5,3,4,12,11,5,6,8,7,18,10,6,8,3,3,0,0,0,107Y06M
A6401-01,A6401-01-005,A6401-0011-00,7,9,9,16,13,13,11,25,26,32,37,44,47,35,25,12,2,6,5,0,0,107Y06M
A6401-01,A6401-01-006,A6401-0014-00,6,8,5,6,17,19,14,14,18,14,17,18,32,15,9,5,9,2,1,0,0,107Y06M
A6401-01,A6401-01-006,A6401-0016-00,2,3,6,5,4,13,12,10,17,11,8,8,12,20,5,7,0,4,0,1,0,107Y06M
A6401-02,A6401-02-001,A6401-0001-00,1,2,2,1,8,4,1,2,1,4,4,5,11,7,2,3,3,1,0,0,0,107Y06M
A6401-02,A6401-02-001,A6401-0003-00,2,1,5,2,6,7,5,7,6,8,8,7,7,5,1,3,4,0,0,0,0,107Y06M
A6401-02,A6401-02-001,A6401-0007-00,1,5,8,7,5,4,4,3,13,11,8,10,12,10,11,2,7,2,1,0,0,107Y06M
A6401-02,A6401-02-002,A6401-0013-00,5,2,4,9,12,13,11,13,11,24,28,15,18,16,9,14,7,2,2,0,0,107Y06M
A6401-02,A6401-02-003,A6401-0019-00,3,1,10,12,15,19,11,5,14,17,21,18,12,9,8,4,4,1,0,0,0,107Y06M
A6401-02,A6401-02-003,A6401-0023-00,1,3,2,6,5,7,5,5,9,7,6,6,11,10,4,2,2,1,0,2,0,107Y06M
A6401-02,A6401-02-004,A6401-0021-00,1,1,0,5,3,3,1,1,1,2,3,1,2,3,0,1,0,1,0,0,0,107Y06M
A6401-02,A6401-02-004,A6401-0026-00,2,6,2,4,4,2,4,8,8,7,7,5,3,6,7,7,1,0,0,0,0,107Y06M
A6401-02,A6401-02-004,A6401-0028-00,8,2,3,4,7,20,22,17,15,16,12,23,22,14,10,7,4,0,2,0,0,107Y06M
A6401-02,A6401-02-005,A6401-0024-00,2,1,0,2,4,7,6,6,3,7,8,2,14,9,2,1,1,2,1,0,0,107Y06M
A6401-02,A6401-02-005,A6401-0029-00,3,2,0,5,8,3,3,14,4,11,20,20,13,22,10,5,4,1,1,0,0,107Y06M
A6401-02,A6401-02-006,A6401-0031-00,6,2,3,4,8,17,17,18,12,14,13,33,21,13,10,12,10,5,1,0,0,107Y06M
A6401-02,A6401-02-007,A6401-0035-00,11,4,3,9,10,19,14,7,10,15,17,13,10,13,10,12,2,1,0,0,0,107Y06M
A6401-02,A6401-02-008,A6401-0033-00,12,2,5,8,9,7,12,12,15,18,22,16,13,17,10,7,4,1,0,0,0,107Y06M
A6401-02,A6401-02-008,A6401-0036-00,5,4,3,4,3,1,5,7,7,5,12,14,10,8,5,2,3,1,1,0,0,107Y06M
A6401-02,A6401-02-009,A6401-0038-00,3,2,10,10,12,16,28,15,18,18,19,28,25,17,15,11,3,3,0,1,0,107Y06M
A6401-02,A6401-02-010,A6401-0040-00,6,5,14,9,21,19,9,22,16,20,30,21,23,29,11,10,5,6,0,1,0,107Y06M
A6401-02,A6401-02-010,A6401-0043-00,2,1,4,5,4,2,1,0,10,3,8,5,4,3,1,3,1,0,0,0,0,107Y06M
A6401-03,A6401-03-001,A6401-0018-00,12,6,10,14,16,25,22,42,17,21,40,30,35,23,14,23,10,6,2,1,0,107Y06M
A6401-03,A6401-03-002,A6401-0015-00,1,1,0,0,2,5,3,0,0,1,4,5,1,0,3,4,1,0,0,0,0,107Y06M
A6401-03,A6401-03-002,A6401-0017-00,3,0,3,0,4,4,8,3,2,6,6,16,4,4,1,1,5,3,1,0,0,107Y06M
A6401-03,A6401-03-002,A6401-0020-00,4,4,6,15,24,19,12,23,16,15,19,23,18,11,7,17,4,5,1,0,0,107Y06M
A6401-03,A6401-03-003,A6401-0022-00,4,2,4,5,6,12,14,14,6,6,5,14,11,7,3,9,2,1,2,1,0,107Y06M
A6401-03,A6401-03-003,A6401-0025-00,5,7,6,19,11,11,10,23,11,25,24,24,28,15,5,3,6,5,1,0,0,107Y06M
A6401-03,A6401-03-004,A6401-0027-00,3,4,9,5,8,11,10,19,11,13,12,19,16,17,5,4,7,4,0,0,0,107Y06M
A6401-03,A6401-03-005,A6401-0032-00,9,7,9,10,22,22,9,14,20,20,32,27,6,11,12,8,8,4,1,0,0,107Y06M
A6401-03,A6401-03-005,A6401-0037-00,6,4,5,2,10,10,7,11,13,13,9,21,15,14,10,4,5,4,1,0,0,107Y06M
A6401-03,A6401-03-006,A6401-0042-00,4,0,1,7,5,8,5,4,7,6,8,7,6,6,9,1,4,0,0,0,0,107Y06M
A6401-03,A6401-03-006,A6401-0044-00,5,9,1,4,7,4,9,14,8,9,10,11,8,13,6,7,1,3,1,0,0,107Y06M
A6401-03,A6401-03-007,A6401-0045-00,7,5,9,10,8,10,15,21,18,11,12,14,24,15,11,6,10,2,2,1,0,107Y06M
A6401-03,A6401-03-007,A6401-0048-00,2,1,3,8,11,10,8,5,14,12,16,10,14,4,6,5,6,2,1,0,0,107Y06M
A6401-04,A6401-04-001,A6401-0030-00,10,3,13,9,15,14,18,17,11,19,21,23,24,25,9,8,10,5,0,1,0,107Y06M
A6401-04,A6401-04-002,A6401-0034-00,10,9,11,6,24,24,27,27,19,18,30,24,22,30,15,13,7,2,2,0,0,107Y06M
A6401-04,A6401-04-003,A6401-0039-00,5,8,11,12,24,22,25,24,24,14,23,43,36,28,18,14,9,4,2,0,0,107Y06M
A6401-04,A6401-04-004,A6401-0047-00,4,6,12,26,16,18,15,21,29,36,23,19,21,24,14,25,11,5,2,0,0,107Y06M
A6401-04,A6401-04-005,A6401-0049-00,16,5,17,19,21,25,23,23,26,15,39,34,29,33,14,9,11,0,1,1,0,107Y06M
A6401-04,A6401-04-006,A6401-0053-00,4,5,9,6,13,8,14,15,13,15,9,14,24,18,12,7,3,3,2,0,0,107Y06M
A6401-04,A6401-04-007,A6401-0056-00,4,4,5,5,13,26,12,22,26,12,20,25,29,14,6,10,5,3,0,0,0,107Y06M
A6401-04,A6401-04-008,A6401-0059-00,8,8,10,16,28,33,29,27,13,28,42,35,37,25,13,16,8,9,1,0,0,107Y06M
A6401-05,A6401-05-001,A6401-0041-00,8,4,19,17,24,19,13,24,20,33,17,27,32,19,8,6,7,8,1,0,0,107Y06M
A6401-05,A6401-05-002,A6401-0046-00,5,4,5,3,11,4,6,16,22,17,10,13,24,18,13,6,3,3,2,0,0,107Y06M
A6401-05,A6401-05-002,A6401-0057-00,4,2,5,8,4,6,12,15,11,11,16,15,15,17,11,8,6,2,0,1,0,107Y06M
A6401-05,A6401-05-003,A6401-0051-00,1,3,1,1,2,3,4,4,2,3,6,5,4,4,2,1,2,5,1,0,0,107Y06M
A6401-05,A6401-05-003,A6401-0054-00,6,6,3,7,6,5,8,10,8,12,11,7,7,7,5,9,5,0,1,0,0,107Y06M
A6401-05,A6401-05-004,A6401-0050-00,5,1,8,15,14,12,13,24,14,14,25,28,22,17,6,7,6,5,0,1,0,107Y06M
A6401-05,A6401-05-004,A6401-0060-00,1,0,0,0,4,7,6,2,3,4,6,5,8,2,1,3,5,2,1,0,0,107Y06M
A6401-05,A6401-05-005,A6401-0055-00,5,1,3,9,7,5,5,13,14,15,8,8,9,15,11,5,5,4,1,0,0,107Y06M
A6401-05,A6401-05-005,A6401-0058-00,7,4,5,10,10,23,22,18,23,16,22,31,25,20,11,10,7,5,1,0,0,107Y06M
A6401-05,A6401-05-006,A6401-0062-00,1,3,3,8,15,11,12,14,16,13,19,22,23,19,10,11,5,3,1,0,0,107Y06M
A6401-05,A6401-05-007,A6401-0064-00,12,13,10,14,16,26,21,31,23,14,19,32,32,34,6,12,4,8,0,0,0,107Y06M
A6401-05,A6401-05-008,A6401-0073-00,11,9,8,19,22,15,20,23,21,22,30,37,32,23,15,11,9,7,4,0,0,107Y06M
A6401-06,A6401-06-001,A6401-0052-00,0,0,2,1,7,4,1,7,4,9,11,6,7,8,3,1,1,3,0,1,0,107Y06M
A6401-06,A6401-06-002,A6401-0065-00,1,1,3,3,2,7,3,10,15,24,31,32,31,14,4,4,4,6,1,0,0,107Y06M
A6401-07,A6401-07-001,A6401-0061-00,5,1,4,7,9,11,16,20,23,13,12,14,26,19,13,8,4,2,0,3,0,107Y06M
A6401-07,A6401-07-002,A6401-0063-00,7,4,8,9,18,19,23,10,9,12,15,22,20,15,8,8,3,1,0,0,0,107Y06M
A6401-07,A6401-07-002,A6401-0066-00,4,5,2,7,11,7,8,5,7,10,9,13,6,9,6,6,4,3,0,2,0,107Y06M
A6401-07,A6401-07-003,A6401-0069-00,8,4,7,10,14,15,13,9,19,14,10,16,27,17,8,13,4,5,0,0,0,107Y06M
A6401-07,A6401-07-004,A6401-0068-00,7,1,4,11,28,27,26,10,5,20,23,35,24,13,7,11,6,3,2,1,0,107Y06M
A6401-07,A6401-07-004,A6401-0072-00,2,1,2,7,5,12,4,0,5,9,7,8,10,5,1,0,1,0,0,1,0,107Y06M
A6401-07,A6401-07-005,A6401-0075-00,6,6,13,12,17,20,20,13,17,23,25,29,36,19,9,10,8,2,0,0,0,107Y06M
A6401-07,A6401-07-006,A6401-0080-00,3,2,4,10,15,22,20,18,14,9,14,26,36,17,15,13,6,4,2,1,0,107Y06M
A6401-07,A6401-07-007,A6401-0079-00,2,0,2,0,4,0,2,9,1,3,2,5,5,7,4,0,3,1,0,0,0,107Y06M
